"mora","atraso","vivienda","edad","dias_lab","exp_sf","nivel_ahorro","ingreso","linea_sf","deuda_sf","zona","clasif_sbs","nivel_educ"
"0","0","FAMILIAR","27","4904","21","12","2250","149.33","0","Lima","0","TECNICA"
"0","1","PROPIA","38","3779","","12","2800","","14918.71","Ica","0","TECNICA"
"0","2","FAMILIAR","22","4417","20","12","2917.91","","0","Lima","0","TECNICA"
"0","0","PROPIA","41","5666","17","12","840","570.66","0","Callao","0","TECNICA"
"0","0","FAMILIAR","27","5817","28","0","2300","951.5","334.09","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","33","5056","64","0","2951","17380.46","2221.35","Piura","1","UNIVERSITARIA"
"0","0","FAMILIAR","53","6243","7","7","3000","1500","1255.49","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","53","10870","","4","4176.74","","5814.14","Ayacucho","0","UNIVERSITARIA"
"0","0","PROPIA","31","5909","1","12","3500","10979.62","57094.38","Lima","1","TECNICA"
"0","0","FAMILIAR","38","4509","8","12","2639.35","5800","5.59","Lima","1","UNIVERSITARIA"
"0","0","FAMILIAR","31","7461","11","12","7126.84","1000","205.25","Callao","0","SECUNDARIA"
"0","0","FAMILIAR","37","5240","69","0","3000","5880.23","2436.61","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","44","7520","8","12","1210","5768","2331.1","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","55","4264","","12","3000","","4716.75","Callao","0","TECNICA"
"0","1","FAMILIAR","25","4445","","12","1403.77","","9554.04","Lima","0","TECNICA"
"0","2","FAMILIAR","32","4843","","12","961.34","900","2108.34","Lima","1","TECNICA"
"0","0","PROPIA","52","4492","","12","990.13","","3800.62","Lima","0","TECNICA"
"0","0","FAMILIAR","32","5878","81","12","9000","4596.04","2980.08","Lima","0","UNIVERSITARIA"
"0","0","PROPIA","54","7186","","12","1800","","3301.49","Lima","0","SECUNDARIA"
"0","25","FAMILIAR","31","4325","13","12","1698.2","2285","0","Lima","1","UNIVERSITARIA"
"0","22","FAMILIAR","41","8588","","12","3500","960.44","9292.34","Lima","1","UNIVERSITARIA"
"0","0","FAMILIAR","24","4690","8","12","900","1500","254.32","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","33","5179","","12","1650","","0","Lima","0","TECNICA"
"0","0","PROPIA","40","4721","29","12","2700","6795.9","2121.91","Lima","1","SECUNDARIA"
"0","2","FAMILIAR","47","4264","","12","3500","17100","9741.64","Lambayeque","0","UNIVERSITARIA"
"0","50","FAMILIAR","23","4904","47","12","710","500","484.3","Lima","4","TECNICA"
"0","0","FAMILIAR","31","6425","68","12","6600","14638.48","2426.45","Lima","3","UNIVERSITARIA"
"0","0","PROPIA","49","8404","9","10","2000","16842.18","3229.93","Lima","0","TECNICA"
"0","0","FAMILIAR","37","6943","","12","1000","606.2","914.72","Piura","0","TECNICA"
"0","0","FAMILIAR","34","4264","58","12","700","17672","109.09","Lima","1","UNIVERSITARIA"
"0","0","FAMILIAR","26","5482","","12","2900","1057.88","418.81","Lima","4","UNIVERSITARIA"
"0","2","FAMILIAR","40","5970","47","12","3680","1210.8","866.89","Lima","1","TECNICA"
"0","0","FAMILIAR","36","7096","9","0","4750","67853.78","1732.59","Lima","0","UNIVERSITARIA"
"0","9","FAMILIAR","48","6456","48","12","30000","66510.12","22844.04","Lima","0","SIN EDUCACION"
"0","0","FAMILIAR","30","5513","","12","3100","3463.73","0","Lambayeque","1","UNIVERSITARIA"
"0","0","FAMILIAR","34","5176","","12","829.09","4467.68","567.14","Lima","0","TECNICA"
"0","0","PROPIA","30","4417","7","12","3000","1131.53","1865.25","Ica","0","UNIVERSITARIA"
"0","2","FAMILIAR","30","3779","8","12","4000","3995","3664.5","Callao","1","UNIVERSITARIA"
"0","0","FAMILIAR","30","5574","","1","2984.62","4668.14","2719.79","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","29","7308","78","11","3500","1800","0","Lima","1","TECNICA"
"0","17","FAMILIAR","49","5026","","8","2600","29864.68","0","Lima","1","TECNICA"
"0","0","FAMILIAR","31","4325","16","12","1789.14","2280","598.58","Lima","0","TECNICA"
"0","0","FAMILIAR","34","8374","88","11","29393.13","","0","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","26","5087","","12","2270","","0","Lima","0","TECNICA"
"0","0","FAMILIAR","52","5605","","12","888.44","","3444.88","Lima","0","TECNICA"
"0","1","FAMILIAR","29","3565","","12","1200","1804.83","2389.82","La Libertad","0","UNIVERSITARIA"
"0","27","FAMILIAR","33","5360","22","12","6620","7231.35","1466.23","Lima","1","UNIVERSITARIA"
"0","0","FAMILIAR","41","7643","13","12","6205","260","0","Lima","0","UNIVERSITARIA"
"0","22","FAMILIAR","32","5300","40","11","2555","13406.8","106.25","Lambayeque","1","UNIVERSITARIA"
"0","0","PROPIA","33","5939","","12","2683.55","280.12","2073.88","Lima","1","TECNICA"
"0","0","FAMILIAR","31","4021","12","12","2000","8804.02","0","Lima","0","UNIVERSITARIA"
"0","0","PROPIA","44","5209","26","0","21000","22638.17","280.45","Lima","0","UNIVERSITARIA"
"0","20","PROPIA","29","3712","10","12","974.73","900","1435.47","Junin","0","TECNICA"
"0","2","FAMILIAR","45","5539","","12","2843.67","3519.86","6017.92","Cajamarca","1","TECNICA"
"0","0","FAMILIAR","26","5725","28","12","7000","11735","187.03","Lima","0","TECNICA"
"0","2","FAMILIAR","37","6821","32","12","1650","600","544.72","Cajamarca","0","TECNICA"
"0","0","FAMILIAR","29","4295","12","11","800","","0","Lima","0","TECNICA"
"0","0","FAMILIAR","41","4874","27","12","2500","6151.97","0","Lima","1","TECNICA"
"0","0","FAMILIAR","35","7127","30","12","2200","4834.49","1889.38","Lima","1","UNIVERSITARIA"
"0","1","FAMILIAR","30","3687","","12","2319.21","3340","12878.26","Lima","3","TECNICA"
"0","0","FAMILIAR","28","4721","","12","2000","","4160.93","San Martin","0","UNIVERSITARIA"
"0","3","FAMILIAR","38","4386","48","10","7000","22184.27","0","Lima","0","UNIVERSITARIA"
"0","38","FAMILIAR","36","5360","66","3","3050","","120.69","Ica","2","UNIVERSITARIA"
"0","0","PROPIA","30","4570","11","12","2750","2707.1","3109.59","La Libertad","0","UNIVERSITARIA"
"0","25","FAMILIAR","21","4144","16","12","2100","1735","480.38","Ica","1","UNIVERSITARIA"
"0","0","PROPIA","30","3581","","12","2690.91","1056","14147.63","Ica","0","TECNICA"
"0","0","PROPIA","53","6425","18","12","2500","4290","1446.97","Lima","0","TECNICA"
"0","2","FAMILIAR","37","5694","4","12","1390","9305.18","2729.88","La Libertad","0","TECNICA"
"0","8","FAMILIAR","29","3565","18","0","6710","24248.45","0","Lima","0","SIN EDUCACION"
